state_code,state_name,ndc11,ndc11_display,brand_name,product_ndc,product_display,package_display,sdud_status,sdud_record_count,latest_period,period_count,total_units_reimbursed,total_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,ffsu_units,ffsu_prescriptions,ffsu_total_amount,mcou_units,mcou_prescriptions,mcou_total_amount,suppression_flag_present,nadac_latest_per_unit,nadac_effective_date,nadac_pricing_unit,notes
MD,Maryland,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,117692,3673,2157242.0500,2130993.2700,26248.7800,22006,567,408435.6800,95686,3106,1748806.3700,N,10.5529,2025-11-19,EA,
MA,Massachusetts,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,395598,11135,7247565.8500,7159396.0600,88169.7900,165875,5490,3063214.7800,229723,5645,4184351.0700,N,10.5529,2025-11-19,EA,
MI,Michigan,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,1064221,25270,18828762.9400,18768454.4500,60308.4900,72447,1765,953735.1700,991774,23505,17875027.7700,N,10.5529,2025-11-19,EA,
MN,Minnesota,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,154416,5568,3167764.3700,3154738.9000,13025.4700,20456,696,385787.4100,133960,4872,2781976.9600,N,10.5529,2025-11-19,EA,
MS,Mississippi,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,97820,2229,1819565.8700,1767483.2300,52082.6400,17747,502,331395.0100,80073,1727,1488170.8600,N,10.5529,2025-11-19,EA,
MO,Missouri,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,380227,12859,7059499.4300,7024650.7500,34848.6800,380227,12859,7059499.4300,,,,N,10.5529,2025-11-19,EA,
MT,Montana,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,62167,2109,1164345.1800,1157335.7100,7009.4700,62167,2109,1164345.1800,,,,N,10.5529,2025-11-19,EA,
NE,Nebraska,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,70657,1951,1278872.1100,1270485.3900,8386.7200,,,,70657,1951,1278872.1100,N,10.5529,2025-11-19,EA,
NV,Nevada,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,117220,2362,2028905.5600,1647588.7500,381316.8100,72730,1001,1235613.4900,44490,1361,793292.0700,N,10.5529,2025-11-19,EA,
NH,New Hampshire,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,42655,1065,740537.5000,740537.5000,0.0000,,,,42655,1065,740537.5000,Y,10.5529,2025-11-19,EA,
NJ,New Jersey,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,230605,6920,4328209.9000,3268307.3400,1059902.5600,2598,87,48367.3100,228007,6833,4279842.5900,N,10.5529,2025-11-19,EA,
NM,New Mexico,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,18253,436,332007.0300,329534.0000,2473.0300,9257,219,183242.8500,8996,217,148764.1800,N,10.5529,2025-11-19,EA,
NY,New York,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,3558092,78981,66092613.5400,65459142.4300,633471.1100,3524114,78083,65121106.8000,33978,898,971506.7400,N,10.5529,2025-11-19,EA,
